,when,did,abc,first,premiere,who,wants,to,be,a,millionaire,?
in,0.4431333839893341,0.2593238651752472,0.1697147786617279,0.4127444326877594,0.2663755416870117,0.2792111933231354,0.18214331567287445,0.45010748505592346,0.3481820821762085,0.539380669593811,0.18415948748588562,0.20430970191955566
august,0.2603156566619873,0.26378265023231506,0.1717352569103241,0.2823166251182556,0.22931700944900513,0.26242005825042725,0.17741882801055908,0.2269229143857956,0.20480798184871674,0.22687026858329773,0.25226056575775146,0.3006744682788849
1999,0.012987824156880379,0.08004042506217957,-0.024477526545524597,0.029182899743318558,-0.04536578059196472,0.0312652513384819,-0.046025704592466354,0.03205801546573639,-0.037506103515625,0.01720399782061577,0.0261821411550045,0.05416720360517502
",",0.36674630641937256,0.3015086054801941,0.2097204476594925,0.34503069519996643,0.24541258811950684,0.3365725874900818,0.2471858412027359,0.44245919585227966,0.39254459738731384,0.427140474319458,0.26780733466148376,0.31091248989105225
abc,0.13294127583503723,0.13353709876537323,1.0000001192092896,0.2403600513935089,0.36639007925987244,0.14673753082752228,0.13110113143920898,0.1762417107820511,0.14780379831790924,0.21331243216991425,0.2397671937942505,0.19065172970294952
premiered,0.15234041213989258,0.16398946940898895,0.40666091442108154,0.3443596065044403,0.9193922877311707,0.11363447457551956,0.14454248547554016,0.1805678755044937,0.15120181441307068,0.14552542567253113,0.3247731328010559,0.21595802903175354
a,0.44397395849227905,0.2552328109741211,0.21331243216991425,0.4287874400615692,0.15134891867637634,0.36608949303627014,0.30014514923095703,0.45503583550453186,0.39883795380592346,1.0,0.287532240152359,0.23916715383529663
special,0.2383107990026474,0.20785176753997803,0.16786715388298035,0.26929977536201477,0.21371853351593018,0.21519862115383148,0.13182780146598816,0.28623831272125244,0.2416570633649826,0.31333932280540466,0.16952021420001984,0.29623302817344666
series,0.2194245308637619,0.15581852197647095,0.38518208265304565,0.3264976441860199,0.3740784823894501,0.21484537422657013,0.16860626637935638,0.19879554212093353,0.21031107008457184,0.23966510593891144,0.2544843852519989,0.1709602326154709
event,0.2685905992984772,0.17957442998886108,0.17161907255649567,0.2614595890045166,0.2923802137374878,0.17899073660373688,0.06839187443256378,0.2585321366786957,0.2608627378940582,0.2635729908943176,0.1926773637533188,0.16076280176639557
",",0.36674630641937256,0.3015086054801941,0.2097204476594925,0.34503069519996643,0.24541258811950684,0.3365725874900818,0.2471858412027359,0.44245919585227966,0.39254459738731384,0.427140474319458,0.26780733466148376,0.31091248989105225
who,0.48282691836357117,0.34038686752319336,0.14673753082752228,0.39065709710121155,0.13220013678073883,0.9999998807907104,0.40157410502433777,0.42656609416007996,0.3371641933917999,0.36608949303627014,0.3235035836696625,0.26220351457595825
wants,0.29896751046180725,0.3883235454559326,0.13110113143920898,0.18659473955631256,0.1569335013628006,0.40157410502433777,0.9999999403953552,0.43851572275161743,0.2636380195617676,0.30014514923095703,0.3506709635257721,0.28174707293510437
to,0.5423505902290344,0.4452643394470215,0.1762417107820511,0.3792489171028137,0.21522076427936554,0.42656609416007996,0.43851572275161743,1.0,0.4972836375236511,0.45503583550453186,0.2684379816055298,0.29463258385658264
be,0.4451393485069275,0.22657383978366852,0.14780379831790924,0.29818081855773926,0.17167909443378448,0.3371641933917999,0.2636380195617676,0.4972836375236511,1.0,0.39883795380592346,0.18120020627975464,0.3324260413646698
a,0.44397395849227905,0.2552328109741211,0.21331243216991425,0.4287874400615692,0.15134891867637634,0.36608949303627014,0.30014514923095703,0.45503583550453186,0.39883795380592346,1.0,0.287532240152359,0.23916715383529663
millionaire,0.11823518574237823,0.16146524250507355,0.2397671937942505,0.28548797965049744,0.32052847743034363,0.3235035836696625,0.3506709635257721,0.2684379816055298,0.18120020627975464,0.287532240152359,1.0,0.24294789135456085
",",0.36674630641937256,0.3015086054801941,0.2097204476594925,0.34503069519996643,0.24541258811950684,0.3365725874900818,0.2471858412027359,0.44245919585227966,0.39254459738731384,0.427140474319458,0.26780733466148376,0.31091248989105225
a,0.44397395849227905,0.2552328109741211,0.21331243216991425,0.4287874400615692,0.15134891867637634,0.36608949303627014,0.30014514923095703,0.45503583550453186,0.39883795380592346,1.0,0.287532240152359,0.23916715383529663
game,0.22596776485443115,0.19789010286331177,0.22060900926589966,0.258794367313385,0.23485182225704193,0.2523840069770813,0.2066144347190857,0.2540906071662903,0.24152140319347382,0.23211604356765747,0.23492127656936646,0.1829071193933487
show,0.2859477698802948,0.1697595715522766,0.4449407458305359,0.23758427798748016,0.4107407033443451,0.2095358669757843,0.1719803661108017,0.29833272099494934,0.29246196150779724,0.24886544048786163,0.284403532743454,0.2520138621330261
based,0.16572482883930206,0.15722841024398804,0.22760380804538727,0.29159173369407654,0.26470527052879333,0.20479141175746918,0.1958666294813156,0.19629007577896118,0.24377326667308807,0.2977409064769745,0.15464502573013306,0.134929820895195
on,0.37706470489501953,0.2670976221561432,0.2862928807735443,0.3120559751987457,0.3152945041656494,0.2340552806854248,0.17078258097171783,0.41031414270401,0.37900757789611816,0.3848365545272827,0.1570359468460083,0.2714994251728058
the,0.5091903209686279,0.34736719727516174,0.2068762183189392,0.49448907375335693,0.26663899421691895,0.3733934462070465,0.2615984082221985,0.535392165184021,0.4248143136501312,0.5829201340675354,0.21001788973808289,0.22068053483963013
british,0.1642608791589737,0.2039594054222107,0.13482575118541718,0.23959001898765564,0.16046850383281708,0.2666113078594208,0.16652832925319672,0.22690963745117188,0.1748596578836441,0.1984395682811737,0.2480792999267578,0.09711728990077972
program,0.2301054745912552,0.18915289640426636,0.28949791193008423,0.2659492492675781,0.2547781765460968,0.2097788155078888,0.25453025102615356,0.23681028187274933,0.23601801693439484,0.2779408395290375,0.23355138301849365,0.1440187245607376
of,0.3757161796092987,0.2513895630836487,0.14607268571853638,0.3536086082458496,0.1671772003173828,0.2827862501144409,0.22823545336723328,0.41548454761505127,0.33904364705085754,0.5052502155303955,0.13616830110549927,0.1826142966747284
the,0.5091903209686279,0.34736719727516174,0.2068762183189392,0.49448907375335693,0.26663899421691895,0.3733934462070465,0.2615984082221985,0.535392165184021,0.4248143136501312,0.5829201340675354,0.21001788973808289,0.22068053483963013
same,0.37020012736320496,0.3097444474697113,0.21684971451759338,0.410033643245697,0.23270553350448608,0.26448050141334534,0.1830926537513733,0.3205692768096924,0.3600577712059021,0.4048157036304474,0.11423519998788834,0.22649677097797394
title,0.19001033902168274,0.17921915650367737,0.15317635238170624,0.2900196313858032,0.23430338501930237,0.18150031566619873,0.12517176568508148,0.24913249909877777,0.2216247171163559,0.23181948065757751,0.1835041493177414,0.34551161527633667
.,0.475719153881073,0.35288307070732117,0.2567209303379059,0.4345304071903229,0.2512761652469635,0.3541337847709656,0.24278217554092407,0.4645031690597534,0.4383580684661865,0.50484299659729,0.2274860441684723,0.4130953550338745
