,what,is,the,united,states,at,risk,for,because,of,the,recession,of,2008,?
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.3938477039337158,0.3977442979812622,0.4374977946281433,0.15674413740634918,0.4322226941585541,0.37423941493034363,0.5696388483047485,0.6662389636039734,0.24036027491092682,0.5696388483047485,-0.0422978475689888,0.20430970191955566
2014,0.041483160108327866,0.16745887696743011,0.059490643441677094,0.017224879935383797,0.0091150663793087,-0.021243147552013397,-0.018548527732491493,-0.029771532863378525,0.05210630223155022,0.0493064783513546,0.059490643441677094,0.03784564137458801,0.0493064783513546,0.15260031819343567,0.058127544820308685
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.3053959608078003,0.3315127193927765,0.38314947485923767,0.2123156040906906,0.4464869201183319,0.372031033039093,0.4946078956127167,0.4933079481124878,0.22229382395744324,0.4946078956127167,-0.008566685020923615,0.31091248989105225
economists,0.26094529032707214,0.2185990959405899,0.20146530866622925,0.17516833543777466,0.1909768432378769,0.1847120225429535,0.23379667103290558,0.19284267723560333,0.3044160306453705,0.18642286956310272,0.20146530866622925,0.30663371086120605,0.18642286956310272,0.015597174875438213,0.1671878695487976
with,0.2464839518070221,0.3250955045223236,0.4223487675189972,0.19869105517864227,0.21424104273319244,0.29126521944999695,0.25507304072380066,0.39140474796295166,0.3967972993850708,0.41827285289764404,0.4223487675189972,0.1850132793188095,0.41827285289764404,-0.05873776227235794,0.2433311939239502
the,0.42745697498321533,0.5823672413825989,1.0,0.34367692470550537,0.3463578522205353,0.457212895154953,0.2011675238609314,0.4739971458911896,0.44596394896507263,0.733189046382904,1.0,0.3396528363227844,0.733189046382904,-0.06530369818210602,0.22068053483963013
standard,0.22809998691082,0.23514990508556366,0.29008856415748596,0.1998797059059143,0.20632316172122955,0.2197922319173813,0.2362854778766632,0.3173719346523285,0.2327098846435547,0.2296806275844574,0.29008856415748596,0.10092688351869583,0.2296806275844574,-0.08282984048128128,0.17029257118701935
&,0.11141876131296158,0.08384179323911667,0.14992168545722961,0.1228547915816307,0.14243322610855103,0.12151119112968445,0.10209626704454422,0.15479104220867157,0.14712879061698914,0.19900451600551605,0.14992168545722961,0.12355957180261612,0.19900451600551605,0.04548105224967003,0.12596383690834045
poor,0.2570318877696991,0.18218109011650085,0.21093174815177917,0.1813960075378418,0.1940978765487671,0.1376163810491562,0.27814754843711853,0.2900572121143341,0.3994849920272827,0.23458099365234375,0.21093174815177917,0.27354955673217773,0.23458099365234375,-0.09222561866044998,0.12937016785144806
's,0.02692362666130066,0.02396530658006668,-0.01540423184633255,-0.03853745758533478,-0.004298824816942215,-0.08481216430664062,-0.0686824843287468,-0.07241261005401611,0.05210670828819275,-0.03817026689648628,-0.01540423184633255,-0.03721453249454498,-0.03817026689648628,0.0007017355528660119,-0.023395681753754616
rating,0.20312486588954926,0.16900229454040527,0.24654440581798553,0.26448488235473633,0.26035943627357483,0.17404744029045105,0.2923036217689514,0.26534613966941833,0.1874442845582962,0.20229244232177734,0.24654440581798553,0.23686543107032776,0.20229244232177734,-0.005310493055731058,0.18754872679710388
agency,0.1771060973405838,0.1915283501148224,0.24253644049167633,0.25955063104629517,0.2558881938457489,0.1662321239709854,0.20903992652893066,0.2340606451034546,0.179005965590477,0.21890796720981598,0.24253644049167633,0.17606329917907715,0.21890796720981598,-0.061711762100458145,0.18185843527317047
concluded,0.29084116220474243,0.1412784606218338,0.3024786412715912,0.2008066326379776,0.22038500010967255,0.26272135972976685,0.22628852725028992,0.24182996153831482,0.2561718225479126,0.29793640971183777,0.3024786412715912,0.3156895637512207,0.29793640971183777,-0.156767338514328,0.13595789670944214
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.25567954778671265,0.291576623916626,0.3183255195617676,0.2734156847000122,0.4137635827064514,0.6503599286079407,0.41498205065727234,0.5473989248275757,0.32766178250312805,0.41498205065727234,-0.2374892234802246,0.32716336846351624
the,0.42745697498321533,0.5823672413825989,1.0,0.34367692470550537,0.3463578522205353,0.457212895154953,0.2011675238609314,0.4739971458911896,0.44596394896507263,0.733189046382904,1.0,0.3396528363227844,0.733189046382904,-0.06530369818210602,0.22068053483963013
widening,0.2990488111972809,0.22552157938480377,0.3781015872955322,0.23680351674556732,0.20999017357826233,0.21321789920330048,0.3193461000919342,0.32012489438056946,0.2947671413421631,0.2925204038619995,0.3781015872955322,0.36391350626945496,0.2925204038619995,-0.1459319293498993,0.15005940198898315
disparity,0.40293318033218384,0.24964092671871185,0.28894439339637756,0.16118477284908295,0.19527170062065125,0.14841020107269287,0.3370293080806732,0.2608795166015625,0.3866454064846039,0.3107764422893524,0.28894439339637756,0.35801181197166443,0.3107764422893524,-0.1925211250782013,0.2772253155708313
between,0.2462156116962433,0.26809602975845337,0.39067012071609497,0.18943358957767487,0.1873093545436859,0.3328663110733032,0.15185993909835815,0.24671313166618347,0.3145020008087158,0.3737983703613281,0.39067012071609497,0.21939584612846375,0.3737983703613281,0.003742500673979521,0.12887074053287506
the,0.42745697498321533,0.5823672413825989,1.0,0.34367692470550537,0.3463578522205353,0.457212895154953,0.2011675238609314,0.4739971458911896,0.44596394896507263,0.733189046382904,1.0,0.3396528363227844,0.733189046382904,-0.06530369818210602,0.22068053483963013
u.s.,0.11178889125585556,-0.05269147455692291,0.06592652946710587,-0.016844162717461586,-0.013163301162421703,0.06425906717777252,-0.022852009162306786,0.11615988612174988,0.05919162556529045,0.011562774889171124,0.06592652946710587,-0.14052164554595947,0.011562774889171124,0.14794154465198517,0.07886100560426712
's,0.02692362666130066,0.02396530658006668,-0.01540423184633255,-0.03853745758533478,-0.004298824816942215,-0.08481216430664062,-0.0686824843287468,-0.07241261005401611,0.05210670828819275,-0.03817026689648628,-0.01540423184633255,-0.03721453249454498,-0.03817026689648628,0.0007017355528660119,-0.023395681753754616
wealthiest,0.22377167642116547,0.21294981241226196,0.3305174708366394,0.3280172049999237,0.3166908621788025,0.19945399463176727,0.1927945762872696,0.19748450815677643,0.19765397906303406,0.3388553857803345,0.3305174708366394,0.2579667866230011,0.3388553857803345,0.1149357482790947,0.15221920609474182
citizens,0.1905079185962677,0.19138109683990479,0.29208630323410034,0.36934277415275574,0.40298786759376526,0.13801409304141998,0.17642325162887573,0.3080717921257019,0.27209532260894775,0.24269554018974304,0.29208630323410034,0.24432258307933807,0.24269554018974304,0.03401259332895279,0.14885954558849335
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.28213179111480713,0.2974761426448822,0.3571503460407257,0.2210875302553177,0.5064792633056641,0.5069696307182312,0.5116966962814331,0.5171257257461548,0.22412803769111633,0.5116966962814331,-0.05681091174483299,0.20544172823429108
the,0.42745697498321533,0.5823672413825989,1.0,0.34367692470550537,0.3463578522205353,0.457212895154953,0.2011675238609314,0.4739971458911896,0.44596394896507263,0.733189046382904,1.0,0.3396528363227844,0.733189046382904,-0.06530369818210602,0.22068053483963013
rest,0.35225364565849304,0.26480963826179504,0.41330549120903015,0.19635452330112457,0.21301107108592987,0.21832938492298126,0.25735288858413696,0.24690839648246765,0.3400532305240631,0.33621829748153687,0.41330549120903015,0.18354929983615875,0.33621829748153687,-0.12631596624851227,0.1725541204214096
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.3187655806541443,0.30884552001953125,0.42558613419532776,0.2274734228849411,0.4185989499092102,0.4075504541397095,1.0,0.733189046382904,0.3236427903175354,1.0,-0.10678710788488388,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.34367692470550537,0.3463578522205353,0.457212895154953,0.2011675238609314,0.4739971458911896,0.44596394896507263,0.733189046382904,1.0,0.3396528363227844,0.733189046382904,-0.06530369818210602,0.22068053483963013
nation,0.21990635991096497,0.2303507775068283,0.39486879110336304,0.32401296496391296,0.35191115736961365,0.1954861283302307,0.1896289438009262,0.23218970000743866,0.2648690640926361,0.3102196156978607,0.39486879110336304,0.3000088036060333,0.3102196156978607,0.04172004759311676,0.17865248024463654
had,0.23849567770957947,0.2932159900665283,0.3875846862792969,0.1966206431388855,0.19475843012332916,0.3288320302963257,0.19777637720108032,0.3270139992237091,0.4456775486469269,0.37755560874938965,0.3875846862792969,0.2900274991989136,0.37755560874938965,-0.08741489052772522,0.20728366076946259
slowed,0.19021867215633392,0.11126535385847092,0.313388854265213,0.15955322980880737,0.1474059373140335,0.25405052304267883,0.2678065896034241,0.2458081990480423,0.33278724551200867,0.2261045277118683,0.313388854265213,0.35351839661598206,0.2261045277118683,-0.11513172835111618,0.10585252940654755
its,0.30393704771995544,0.4447362422943115,0.559237003326416,0.25747814774513245,0.2691997289657593,0.2685394287109375,0.15528011322021484,0.2992613911628723,0.4357093274593353,0.48690423369407654,0.559237003326416,0.25249651074409485,0.48690423369407654,-0.20384426414966583,0.15103481709957123
recovery,0.16055332124233246,0.18512021005153656,0.2886691391468048,0.1721813678741455,0.16939212381839752,0.14100240170955658,0.35953253507614136,0.2877101004123688,0.22509008646011353,0.25668516755104065,0.2886691391468048,0.37370210886001587,0.25668516755104065,-0.08023767173290253,0.11030710488557816
from,0.2737620174884796,0.27355384826660156,0.40150508284568787,0.27339106798171997,0.24283263087272644,0.3447161316871643,0.1725015789270401,0.314039945602417,0.35139670968055725,0.4249346852302551,0.40150508284568787,0.2610374391078949,0.4249346852302551,-0.025738153606653214,0.19969791173934937
the,0.42745697498321533,0.5823672413825989,1.0,0.34367692470550537,0.3463578522205353,0.457212895154953,0.2011675238609314,0.4739971458911896,0.44596394896507263,0.733189046382904,1.0,0.3396528363227844,0.733189046382904,-0.06530369818210602,0.22068053483963013
2008-2009,-0.1394445151090622,-0.06544975936412811,-0.030424339696764946,0.034902554005384445,0.015273968689143658,-0.0781131312251091,-0.14623786509037018,-0.04835993051528931,-0.20777902007102966,-0.02860206924378872,-0.030424339696764946,-0.10710754990577698,-0.02860206924378872,0.6283038258552551,-0.11141005158424377
recession,0.2692625820636749,0.21007955074310303,0.3396528363227844,0.26163190603256226,0.29781636595726013,0.24459201097488403,0.22416004538536072,0.24331574141979218,0.33209770917892456,0.3236427903175354,0.3396528363227844,1.0000001192092896,0.3236427903175354,-0.04456968978047371,0.11054877191781998
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.28213179111480713,0.2974761426448822,0.3571503460407257,0.2210875302553177,0.5064792633056641,0.5069696307182312,0.5116966962814331,0.5171257257461548,0.22412803769111633,0.5116966962814331,-0.05681091174483299,0.20544172823429108
made,0.23419176042079926,0.29543453454971313,0.3885267674922943,0.20117242634296417,0.19372312724590302,0.20185844600200653,0.1307019144296646,0.3147922456264496,0.3560832440853119,0.33167365193367004,0.3885267674922943,0.1698913723230362,0.33167365193367004,-0.013808947056531906,0.17218779027462006
it,0.45803478360176086,0.6328473687171936,0.6251175999641418,0.28033962845802307,0.3072223365306854,0.36473900079727173,0.15489952266216278,0.32171204686164856,0.4849289059638977,0.38761502504348755,0.6251175999641418,0.25440287590026855,0.38761502504348755,-0.17123371362686157,0.25732165575027466
more,0.3484537899494171,0.2946030795574188,0.39758381247520447,0.1760239452123642,0.22187471389770508,0.2627858817577362,0.2416793555021286,0.3891189992427826,0.4338211119174957,0.30478984117507935,0.39758381247520447,0.259348064661026,0.30478984117507935,-0.122902050614357,0.27894994616508484
prone,0.19741255044937134,0.21998165547847748,0.21115435659885406,0.10689038038253784,0.12891484797000885,0.10637905448675156,0.40726444125175476,0.3291798233985901,0.39884838461875916,0.17674559354782104,0.21115435659885406,0.29178792238235474,0.17674559354782104,-0.20061424374580383,0.19483062624931335
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.2715383470058441,0.2828785181045532,0.36524343490600586,0.26643267273902893,0.4451248347759247,0.5166091918945312,0.41548454761505127,0.535392165184021,0.29344719648361206,0.41548454761505127,-0.22700966894626617,0.29463258385658264
boom-and-bust,0.3018418252468109,0.3035937249660492,0.3664504587650299,0.3239845037460327,0.27672988176345825,0.22203375399112701,0.3060743808746338,0.35523444414138794,0.3073384165763855,0.2717345654964447,0.3664504587650299,0.36541277170181274,0.2717345654964447,0.01445221621543169,0.2771144211292267
cycles,0.22229748964309692,0.18264725804328918,0.2874864637851715,0.14235511422157288,0.15523873269557953,0.2109258770942688,0.21592792868614197,0.2629173696041107,0.2801712155342102,0.2640573978424072,0.2874864637851715,0.28764206171035767,0.2640573978424072,-0.13341043889522552,0.10661901533603668
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.3406063914299011,0.33941102027893066,0.4549728035926819,0.19891688227653503,0.4726039469242096,0.45765790343284607,0.5352458953857422,0.5934505462646484,0.21236081421375275,0.5352458953857422,-0.01312112994492054,0.4130953550338745
