,if,the,apparant,force,of,two,fermions,is,repulsive,",",what,is,the,spin,function,?
electrons,0.33898746967315674,0.2109822928905487,0.22523336112499237,0.2974533140659332,0.1921376883983612,0.27902093529701233,0.6401180028915405,0.20416733622550964,0.3056277334690094,0.2110055536031723,0.23107858002185822,0.20416733622550964,0.2109822928905487,0.4019731283187866,0.2898680567741394,0.15516111254692078
),0.2878422141075134,0.3456730246543884,0.18483677506446838,0.19671578705310822,0.3680361211299896,0.24161455035209656,0.16863825917243958,0.37732169032096863,0.17356334626674652,0.63033527135849,0.26259949803352356,0.37732169032096863,0.3456730246543884,0.1157236322760582,0.24718981981277466,0.42300865054130554
have,0.48852935433387756,0.40389683842658997,0.32547152042388916,0.17953111231327057,0.3802283704280853,0.4498785734176636,0.35145947337150574,0.3613572418689728,0.26408788561820984,0.3541618287563324,0.39808809757232666,0.3613572418689728,0.40389683842658997,0.22386278212070465,0.2885133922100067,0.32991164922714233
a,0.41272827982902527,0.5829201340675354,0.35066720843315125,0.2451154738664627,0.5052502155303955,0.3289857804775238,0.22818009555339813,0.658733606338501,0.22494706511497498,0.427140474319458,0.3320399522781372,0.658733606338501,0.5829201340675354,0.2491714507341385,0.20934805274009705,0.23916715383529663
symmetric,0.28436464071273804,0.19091804325580597,0.2297881543636322,0.23693890869617462,0.21945500373840332,0.28072014451026917,0.4030359089374542,0.20811855792999268,0.2749177813529968,0.14555411040782928,0.23639118671417236,0.20811855792999268,0.19091804325580597,0.25140535831451416,0.3671969771385193,0.16586486995220184
spin,0.21929828822612762,0.22827482223510742,0.12540528178215027,0.27443912625312805,0.1442040354013443,0.2192729413509369,0.4436461925506592,0.17025168240070343,0.16926880180835724,0.21235895156860352,0.1801164597272873,0.17025168240070343,0.22827482223510742,1.0000001192092896,0.12533028423786163,0.10766658186912537
function,0.4055565595626831,0.2037137746810913,0.280316561460495,0.1733032464981079,0.16667552292346954,0.16746540367603302,0.27031823992729187,0.17586156725883484,0.20793063938617706,0.18487244844436646,0.22155974805355072,0.17586156725883484,0.2037137746810913,0.12533028423786163,1.0,0.20672395825386047
(,0.26899856328964233,0.33289089798927307,0.18866685032844543,0.17529799044132233,0.35032153129577637,0.2169162482023239,0.16838988661766052,0.35393038392066956,0.18541555106639862,0.6363511681556702,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.11182379722595215,0.25402042269706726,0.40561532974243164
e.g,0.0028317489195615053,0.08954983949661255,-0.02296357788145542,-0.019040172919631004,0.017287904396653175,0.07562107592821121,0.04250777140259743,0.02077377215027809,0.01707891933619976,-0.1017751693725586,0.044121697545051575,0.02077377215027809,0.08954983949661255,0.122115857899189,-0.04341528192162514,-0.03681480139493942
.,0.421799898147583,0.5934505462646484,0.3091103732585907,0.2783275842666626,0.5352458953857422,0.3524959683418274,0.2509286403656006,0.4569662809371948,0.18300119042396545,0.6812511086463928,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2699195146560669,0.253307044506073,0.4130953550338745
,if,the,apparant,force,of,two,fermions,is,repulsive,",",what,is,the,spin,function,?
parallel,0.17064008116722107,0.26065152883529663,0.24494218826293945,0.20390856266021729,0.23076768219470978,0.3219764530658722,0.2904963791370392,0.17405718564987183,0.14903806149959564,0.1709916889667511,0.23414644598960876,0.17405718564987183,0.26065152883529663,0.18239344656467438,0.23632587492465973,0.13566309213638306
spins,0.31254661083221436,0.26315373182296753,0.2040681689977646,0.2770182192325592,0.20363713800907135,0.26199042797088623,0.4606403708457947,0.24568180739879608,0.18930849432945251,0.19798298180103302,0.2210051715373993,0.24568180739879608,0.26315373182296753,0.7482584118843079,0.1532474160194397,0.12287293374538422
),0.2878422141075134,0.3456730246543884,0.18483677506446838,0.19671578705310822,0.3680361211299896,0.24161455035209656,0.16863825917243958,0.37732169032096863,0.17356334626674652,0.63033527135849,0.26259949803352356,0.37732169032096863,0.3456730246543884,0.1157236322760582,0.24718981981277466,0.42300865054130554
the,0.33724796772003174,1.0,0.3042762875556946,0.2800885736942291,0.733189046382904,0.43858039379119873,0.2234962284564972,0.5823672413825989,0.1449195146560669,0.4933079481124878,0.42745697498321533,0.5823672413825989,1.0,0.22827482223510742,0.2037137746810913,0.22068053483963013
spatial,0.22538480162620544,0.21930328011512756,0.2898772656917572,0.20139189064502716,0.2952149212360382,0.2137342244386673,0.24489419162273407,0.23371939361095428,0.22899718582630157,0.19439400732517242,0.2384750097990036,0.23371939361095428,0.21930328011512756,0.1518070101737976,0.3954353630542755,0.13860870897769928
variables,0.4088232219219208,0.1977231651544571,0.2763125002384186,0.18889755010604858,0.197788804769516,0.245404452085495,0.48236897587776184,0.26567497849464417,0.27597883343696594,0.20117178559303284,0.24388675391674042,0.26567497849464417,0.1977231651544571,0.18802671134471893,0.49004197120666504,0.2210804969072342
must,0.5808357000350952,0.2713140547275543,0.13449834287166595,0.1998588740825653,0.24322323501110077,0.2710527777671814,0.30453580617904663,0.3093329071998596,0.2141449898481369,0.2231246829032898,0.30362528562545776,0.3093329071998596,0.2713140547275543,0.1362299919128418,0.24910667538642883,0.23707495629787445
be,0.5628611445426941,0.4248143136501312,0.25836074352264404,0.16664405167102814,0.33904364705085754,0.28515341877937317,0.27718067169189453,0.4819129705429077,0.26471078395843506,0.39254459738731384,0.3929833769798279,0.4819129705429077,0.4248143136501312,0.19910596311092377,0.23198768496513367,0.3324260413646698
antisymmetric,0.3477608859539032,0.23309378325939178,0.3130478858947754,0.27391359210014343,0.26013991236686707,0.2649365961551666,0.47495484352111816,0.25020870566368103,0.3972591161727905,0.19128206372261047,0.2595628499984741,0.25020870566368103,0.23309378325939178,0.31809961795806885,0.39677074551582336,0.18593598902225494
(,0.26899856328964233,0.33289089798927307,0.18866685032844543,0.17529799044132233,0.35032153129577637,0.2169162482023239,0.16838988661766052,0.35393038392066956,0.18541555106639862,0.6363511681556702,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.11182379722595215,0.25402042269706726,0.40561532974243164
i.e,-0.0428631529211998,-0.11428935080766678,0.01050702203065157,-0.020964691415429115,-0.09192006289958954,-0.040672291070222855,0.029904522001743317,-0.04790802299976349,0.0592801570892334,-0.03723205626010895,0.06545200943946838,-0.04790802299976349,-0.11428935080766678,0.00029887736309319735,-0.074461929500103,-0.00816641841083765
.,0.421799898147583,0.5934505462646484,0.3091103732585907,0.2783275842666626,0.5352458953857422,0.3524959683418274,0.2509286403656006,0.4569662809371948,0.18300119042396545,0.6812511086463928,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2699195146560669,0.253307044506073,0.4130953550338745
